borough_new,BarkingandDagenham,Barnet,Bexley,Brent,Bromley,Camden,CityofLondon,Croydon,Ealing,Enfield,Greenwich,Hackney,HammersmithandFulham,Haringey,Harrow,Havering,Hillingdon,Hounslow,Islington,KensingtonandChelsea,KingstonuponThames,Lambeth,Lewisham,Merton,Newham,Redbridge,RichmonduponThames,Southwark,Sutton,TowerHamlets,WalthamForest,Wandsworth,Westminster
KingstonuponThames,0.033428644638884376,0.028022855470494084,0.032262065295627744,0.02378502482248388,0.029927427556607697,0.029415568053608388,0.03211084617904868,0.02531590164004497,0.02011104346255157,0.03218526532094216,0.033252493217229735,0.03387413602164574,0.022134487337863967,0.03245217018137706,0.023572290116261402,0.03193269871563218,0.02119577151381108,0.017097421171363307,0.03211111446576657,0.024801306758574525,0.008380985604499337,0.02771461548714761,0.03179150220544394,0.01819638869988903,0.03445690819930481,0.03403884256536548,0.013049887888469806,0.0311879484634539,0.019158536005095914,0.033887312240713494,0.03431972498862865,0.02174452888645238,0.02785656151181582
Lambeth,0.034118835757612584,0.032660017242006616,0.03294822941214261,0.032709915112231716,0.029546091784051733,0.027215766745002663,0.022587193399239567,0.023962157523495696,0.033693955819644045,0.03302517028492823,0.03108048607936697,0.028527574192958947,0.027965151691666145,0.030444987267426293,0.03458613798890813,0.034319620652827565,0.03459910671751804,0.03347823195068654,0.026613522026719523,0.025720467957178642,0.030032596288257718,0.012786422867203998,0.025554660157189876,0.024142321157848017,0.0318711079149179,0.03390694337874069,0.03169637948669398,0.019713673220540424,0.02481002293967677,0.027375736210805628,0.03244811239483647,0.02233801909220047,0.0237958521373167
Lewisham,0.02415885607457911,0.03264311771647692,0.022356402327875474,0.03411180407669601,0.019031745760521693,0.030293594286441856,0.02346555957074983,0.021564384030473515,0.034458037564929406,0.029289853138047994,0.01822519274498747,0.024352216643375058,0.0324973024366079,0.02882152861050893,0.0342067655374618,0.025526061170022953,0.033572923737936654,0.03380233717117657,0.027248809031715664,0.031323157894493185,0.03150372734970756,0.023022770038177688,0.010885590404598189,0.02897163261056449,0.020787554102328232,0.024620986974888126,0.03317522143147645,0.017928088505650225,0.027065004595105045,0.0191472196652741,0.025361615901529674,0.029369997476134523,0.029579577566246816
Merton,0.03718106606258603,0.03316061823580028,0.035589315088876375,0.030108118473833177,0.03188271538470568,0.03134192854403486,0.03220447953618369,0.02405972494722421,0.028857099038708006,0.036373583545768765,0.03549261556670706,0.03567640634414999,0.02465082471953654,0.03541334036310392,0.03150885954314544,0.03626523255120367,0.030339331186661173,0.0274837030202103,0.03359421102083237,0.025618693369247946,0.020871390476168216,0.024164468434339413,0.0319710135837018,0.012424363289314407,0.037014794387151134,0.03769597386010652,0.02417769239428112,0.03003219313562574,0.016860451384683093,0.0350209675785603,0.037496906271809134,0.018050995980239192,0.028154705016970514
Newham,0.019703916638212467,0.03689467449026311,0.02201107280616545,0.04036608240319586,0.025913606524851265,0.03631645161151624,0.030232852901311558,0.03269403758659499,0.04117508204536686,0.029251303983185695,0.017892065287489996,0.025773447246276976,0.040693437387755195,0.031007281818610143,0.0396462048181872,0.02370694017182464,0.03932642003864278,0.04081610903923437,0.03185436055538087,0.039575196345947895,0.03991374808017816,0.03429138584667683,0.024449856441621107,0.03896495897031864,0.010734920206036844,0.017409881383790234,0.04101953913115654,0.029129492200881284,0.037165229420443056,0.02169901458968627,0.020813618044815976,0.03915097564574874,0.03734357592506887
Redbridge,0.017578115260821325,0.04049703711083628,0.024285508438987937,0.044794830721104364,0.031127946465092877,0.04172533580370327,0.03722296495372618,0.03890648451207462,0.04554172994330996,0.030890888396884714,0.024798339439856425,0.03168569063781115,0.04634585263486476,0.03504785629498158,0.0432654263407113,0.022188209014442746,0.04287064844420861,0.04517813610427278,0.03754668853680984,0.04550471235774763,0.04501059179418768,0.04147433000448872,0.03250158543188924,0.04506743439606866,0.02019626198295253,0.012748092126007061,0.045913320400702555,0.03694746964557337,0.043068394961745866,0.029996702785551617,0.022486289485310406,0.04547803826191944,0.04343681732833801
RichmonduponThames,0.0383174889587377,0.02931290770108079,0.03745784514790829,0.023415232917328787,0.035587983185648174,0.03220655381063031,0.036712014621341674,0.031614036932597386,0.018074514466777377,0.03532490224661852,0.03869895272036199,0.038303200228452135,0.02332092475238926,0.03581341158649736,0.0229758229427519,0.036515988274123806,0.02052393491516206,0.013958740123668803,0.03592449364332892,0.027186854984330405,0.01674775245193743,0.03307061365886249,0.03751282985737529,0.024462172130495292,0.03958860019552881,0.0387093482354131,0.012070896824917222,0.0365606391536483,0.026137952970904373,0.03895823178354551,0.03866350514192997,0.026166672788389588,0.031044210729841693
Southwark,0.03084896297300588,0.03336442223763136,0.030097860473290286,0.0350718693263948,0.027591042448466527,0.028320830423902488,0.018007314288431525,0.026026984796545923,0.036365528985284425,0.030883814321143094,0.026878610855971024,0.023455313920677717,0.03219687273233887,0.02830071833132046,0.036333181375238166,0.03189527997311063,0.0364747568248374,0.036266603954251714,0.024495371385353074,0.030000453966446617,0.03383466068493904,0.019784671097532205,0.020506416836788426,0.029884349340762038,0.026899321967697794,0.030142189261657557,0.035203557371685165,0.012774044138151999,0.02943506864525577,0.020057516644236367,0.028160850432042635,0.02868173617095213,0.02694759545572495
Sutton,0.03399441974117559,0.0328141952576262,0.0320585650245958,0.030334995802861815,0.027998464789989536,0.03192593798276368,0.03178703621086644,0.019458033532366074,0.028478121927424497,0.03496961679405244,0.03232841895627936,0.03447296217772748,0.026751069548878518,0.034675882965680284,0.03063523436966478,0.032974411304721674,0.028705416890745503,0.026436376982309256,0.03333729107867063,0.027677847502480063,0.019635824120662292,0.024666583810629424,0.029346634157431866,0.015807248376085305,0.034325360125976236,0.034924936296861345,0.023918850261551314,0.028986477651444034,0.010609453866396869,0.0332807154373776,0.035502701493413454,0.021756289881084613,0.029498141683332018
TowerHamlets,0.02235614521547391,0.027198912417996865,0.022805432198441413,0.02983581004642392,0.022801227988172756,0.024253147442568287,0.01607782669568659,0.024707103953641327,0.031125003954064336,0.022596064420108503,0.019516144948901557,0.014303424406437684,0.02894162572018162,0.02104882272085284,0.030365538308273186,0.02394124842277871,0.030676094159531812,0.031211075431251917,0.019381802007998692,0.027374978816983708,0.030125057876827108,0.022379481468529427,0.017832928539602805,0.028190915341924083,0.017285735947331113,0.020797877173562056,0.030887978919461895,0.016979029179294673,0.027591318786971658,0.009849834551076039,0.01804821440826885,0.02741297266915103,0.024741696520381037
WalthamForest,0.024430875736346783,0.03254497539946082,0.02749185938030844,0.037256091644551154,0.03058941536222974,0.032354519078651965,0.02802725255151435,0.03487838865038161,0.03890892876645247,0.02237228743470471,0.025743201898285516,0.020799804025300146,0.03836630273049345,0.024742361423146057,0.036886207298360695,0.026433841572665037,0.03750476434665751,0.03921920264549036,0.027399377435415165,0.03709152314227819,0.03924759244650967,0.03431165611933945,0.028720024964588888,0.03862923217611804,0.020306168920183977,0.019907843208584082,0.0396388686810286,0.02993760303329959,0.03774557808968649,0.022237006115500342,0.011817850610117094,0.038062350906953764,0.034508021621593284
Wandsworth,0.035893821446078826,0.029834147690500336,0.03484067326369785,0.027332529679010786,0.031886955436436194,0.026297830778435075,0.027942530321959945,0.025793021900335982,0.027698743479467814,0.03332762713068782,0.034261450027040216,0.03206734789430277,0.0202535653831875,0.03148842026792466,0.029914860751476268,0.03530683359674164,0.029965490881780424,0.02758865391686705,0.0290666314601557,0.0199609660011831,0.02363869591934804,0.020623593799663584,0.030606577504858564,0.01734371709902687,0.035059948667988956,0.03586648761318533,0.024776456804037852,0.02708479669667195,0.021640786616174107,0.032126852400784986,0.03474888778055732,0.013575532386055227,0.02224160403801484
Westminster,0.034444034209957355,0.02412141606367486,0.03434920572483534,0.024126453291063468,0.03285719162411765,0.016543562733348637,0.02306750885169708,0.029692033419826118,0.027513640047789684,0.028296012488327135,0.033450977851661845,0.027136061579422936,0.01944474295571789,0.024897849038947914,0.028118795109993277,0.03418154669128925,0.029973000699960093,0.028973652681983274,0.021929453447855154,0.015472289818403335,0.02814912509437231,0.0229381045111569,0.030606988674502927,0.025357428930145802,0.032969839116091,0.033531368562372516,0.027658394949616676,0.026010235932288173,0.027933330064032598,0.029136709638411744,0.0308737843513861,0.021386366005508944,0.013043020784672994
